period_id,route_id,days_present,avg_headway_min,median_headway_min,n_days_in_period,share_days_present,route_short_name,route_long_name,route_type
P3,6,16,12,12,16,1,6,Jackson Park Express,3
P3,60,16,10,10,16,1,60,Blue Island/26th,3
P3,62,16,15,15,16,1,62,Archer,3
P3,62H,16,30,30,16,1,62H,Archer/Harlem,3
P3,63,16,7.833333333333333,7.833333333333333,16,1,63,63rd,3
P3,63W,16,25.716666666666665,25.716666666666665,16,1,63W,West 63rd,3
P3,65,16,20,20,16,1,65,Grand,3
P3,66,16,6.916666666666667,6.916666666666667,16,1,66,Chicago,3
P3,67,16,10,10,16,1,67,67th/69th/71st,3
P3,68,16,25.716666666666665,25.716666666666665,16,1,68,Northwest Highway,3
P3,7,16,15,15,16,1,7,Harrison,3
P3,70,16,12,12,16,1,70,Division,3
P3,71,16,12,12,16,1,71,71st/South Shore,3
P3,72,16,10.583333333333334,10.583333333333334,16,1,72,North,3
P3,73,16,18,18,16,1,73,Armitage,3
P3,74,16,12,12,16,1,74,Fullerton,3
P3,75,16,12,12,16,1,75,74th/75th,3
P3,76,16,15,15,16,1,76,Diversey,3
P3,77,16,9,9,16,1,77,Belmont,3
P3,78,16,16.366666666666667,16.366666666666667,16,1,78,Montrose,3
P3,79,16,6.666666666666667,6.666666666666667,16,1,79,79th,3
P3,8,16,10,10,16,1,8,Halsted,3
P3,80,16,12,12,16,1,80,Irving Park,3
P3,81,16,10,10,16,1,81,Lawrence,3
P3,81W,16,25.716666666666665,25.716666666666665,16,1,81W,West Lawrence,3
P3,82,16,9,9,16,1,82,Kimball/Homan,3
P3,84,16,15,15,16,1,84,Peterson,3
P3,85,16,15,15,16,1,85,Central,3
P3,85A,16,20,20,16,1,85A,North Central,3
P3,86,16,20,20,16,1,86,Narragansett/Ridgeland,3
P3,87,16,11.25,11.25,16,1,87,87th,3
P3,88,16,25.716666666666665,25.716666666666665,16,1,88,Higgins,3
P3,8A,16,16.366666666666667,16.366666666666667,16,1,8A,South Halsted,3
P3,9,16,9,9,16,1,9,Ashland,3
P3,90,16,20,20,16,1,90,Harlem,3
P3,91,16,16.366666666666667,16.366666666666667,16,1,91,Austin,3
P3,92,16,15,15,16,1,92,Foster,3
P3,93,16,20.625,20,16,1,93,California/Dodge,3
P3,94,16,13.85,13.85,16,1,94,California,3
P3,95,16,9.466666666666667,9.466666666666667,16,1,95,95th,3
P3,96,16,30,30,16,1,96,Lunt,3
P3,97,16,20,20,16,1,97,Skokie,3
P3,Blue,16,6,6,16,1,NA,Blue Line,1
P3,Brn,16,7.5,7.5,16,1,NA,Brown Line,1
P3,G,16,10,10,16,1,NA,Green Line,1
P3,J14,16,10,10,16,1,J14,Jeffery Jump,3
P3,Org,16,8.566666666666666,8.566666666666666,16,1,NA,Orange Line,1
P3,P,16,10,10,16,1,NA,Purple Line,1
P3,Pink,16,10,10,16,1,NA,Pink Line,1
P3,Red,16,6,6,16,1,NA,Red Line,1
P3,X4,16,180,180,16,1,X4,Cottage Grove Express,3
P3,X9,16,60,60,16,1,X9,Ashland Express,3
P3,Y,16,15,15,16,1,NA,Yellow Line,1
